trial_path,variant,total_calls,total_GFLOPs,total_tokens,amplification
analysis/raw_logs\20251029_144001_moved\P0_40531dc8-5370-4dd6-91c3-786ed58ffc1e.jsonl,P0,1,288000.0,32,0.011530559927718878
analysis/raw_logs\20251029_144001_moved\P0_6e8746ef-4618-48ef-90e4-6ff728befe2e.jsonl,P0,1,288000.0,32,0.011530559927718878
analysis/raw_logs\20251029_144001_moved\P0_7afaf665-3df5-4cdc-9c78-fcd94c89deea.jsonl,P0,1,288000.0,32,0.011530559927718878
analysis/raw_logs\20251029_144001_moved\P0_7fecdcbf-0d85-44d4-8166-36398e2165ca.jsonl,P0,1,348000.0,58,0.013932759912660311
analysis/raw_logs\20251029_144001_moved\P0_8388850d-b2c5-48c1-a2fb-6fc7e52f0b44.jsonl,P0,1,222000.0,37,0.008888139944283302
analysis/raw_logs\20251029_144001_moved\P0_8769f00e-c6c0-40f2-ae79-295ff7b5e847.jsonl,P0,1,222000.0,37,0.008888139944283302
analysis/raw_logs\20251029_144001_moved\P0_b2191c36-d37e-44b6-b1b7-9ab795288949.jsonl,P0,1,348000.0,58,0.013932759912660311
analysis/raw_logs\20251029_144001_moved\P0_d9ec63e6-e15e-448f-8ec9-383ba6e21e50.jsonl,P0,1,348000.0,58,0.013932759912660311
analysis/raw_logs\20251029_144001_moved\P0_de146551-b1b0-4380-a439-5b93ca312ce5.jsonl,P0,1,222000.0,37,0.008888139944283302
analysis/raw_logs\20251029_144001_moved\P3_028047cb-3eda-45b4-8e8d-1ebd465f7f8f.jsonl,P3,2,456000.0,76,0.01825671988555489
analysis/raw_logs\20251029_144001_moved\P3_1b7869d6-bc38-4f41-8041-105b94e99b96.jsonl,P3,2,456000.0,76,0.01825671988555489
analysis/raw_logs\20251029_144001_moved\P3_53fb22fd-4e98-4177-8774-321fd49459bb.jsonl,P3,2,708000.0,118,0.02834595982230891
analysis/raw_logs\20251029_144001_moved\P3_7ebb0a27-3d25-4022-b524-7c95113d0a82.jsonl,P3,2,594000.0,66,0.023781779850920184
analysis/raw_logs\20251029_144001_moved\P3_8474862b-bd5f-4b96-b582-28db463a7346.jsonl,P3,2,456000.0,76,0.01825671988555489
analysis/raw_logs\20251029_144001_moved\P3_930822c8-4fab-401f-b2a1-d2c408edfc3a.jsonl,P3,2,456000.0,76,0.01825671988555489
analysis/raw_logs\20251029_144001_moved\P3_937877e2-c074-4d2b-8476-855e07d568c3.jsonl,P3,2,708000.0,118,0.02834595982230891
analysis/raw_logs\20251029_144001_moved\P3_a036c1a5-9a0e-44fc-8f74-d4588c403e09.jsonl,P3,2,594000.0,66,0.023781779850920184
analysis/raw_logs\20251029_144001_moved\P3_ae4ed5b3-97d3-4cc7-b777-f5067245dd7d.jsonl,P3,2,708000.0,118,0.02834595982230891
analysis/raw_logs\20251029_144001_moved\P3_c6e60933-0e2d-46d4-be29-98f840233330.jsonl,P3,2,594000.0,66,0.023781779850920184
analysis/raw_logs\20251029_144001_moved\P3_dedf13d1-410b-434c-b0c3-88944bdfadbf.jsonl,P3,2,708000.0,118,0.02834595982230891
